class,sentence
"access control","A message of the removal is sent to the adverse event reporter and to the LHCP involved in the report (because the LHCP prescribed the drug or administered the immunization)"
"access control","A patient can click View Full Calendar link to view his or her appointments in the current month together with his or her office visit dates prescription dates and lab procedure dates in the current month displayed on a calendar for the current month"
"access control","A patient can request to schedule an appointment with an LHCP"
"access control","A patient can select to report physiologic measurements for those whose at least one physiologic data type is specified to be under monitoring andfor whom he or she is a patient representative"
"access control","A patient chooses to view their patient specific instructions by selecting a link named Patient Specific Instructions under the View heading in the left hand menu"
"access control","A patient is presented with a listing of all prescription drugs for which he or she has been prescribed possibly and possibly has taken in the last 12 months"
"access control","A patient may have at most one height data point one weight data point and one pedometer data point in any one day reported by him or herself a UAP or a personal representative"
"access control","A patient may have up to 10 physiologic data points in any one day reported by him or herself a UAP or a personal representative"
"access control","A patient may view his or her own lab procedure results"
"access control","A patient may view his or her own lab procedure"
"access control","A patient or patient representative wishes to reply to a message"
"access control","A patient or personal health representativeor LHCPchooses to view prescription reports"
"access control","A patient or personal health representativeviews his or her iTrust homepage"
"access control","A patient or personal health representative can answer any of the following questions relative to a previous (in UC9 S1) office visit according to Data Format 613"
"access control","A patient or personal health representative chooses to view medical recordsincluding family history"
"access control","A patient or personal health representative may enter or edit their own demographic information including their security question or answer according to data format 61"
"access control","A patient views a list of his or her referrals"
"access control","A patient views the details of his or her referrals"
"access control","A patient whose height weight or pedometer data type is specified to be under monitoring chooses to report his or her height or weight or pedometer data"
"access control","A public health agent is presented with a listing of immunization-related adverse events for the time period that do not have a status of removed sorted by CPT code"
"access control","A public health agent is presented with a listing of prescription drug-related adverse events for the time period that do not have a status of removed sorted by NDC"
"access control","A receiving HCP views a list of received referrals"
"access control","A row for showing the message subject the name of the recipient and the timestamp is then visible in the patient or representatives message outbox"
"access control","A row for showing the message subject the name of the recipient and the timestamp is then visible in the LHCPs message outbox"
"access control","A sending HCP cancels a previously sent patient referral by visiting the office visit page viewing the details of a previously sent patient referraland choosing cancel"
"access control","A sending HCP edits a previously sent patient referral"
"access control","A sending HCP refers the patient to another receiving HCP"
"access control","A sending HCP views a list of previously sent patient referrals"
"access control","A successful login brings you to the appointment calendar"
"access control","A UAPor patient representativecan input the blood pressure glucose levels height weight or pedometer readings for a patient"
"access control","A UAP can select to report physiologic measurements"
"access control","A user (a patient or personal health representative) views basic information about his or her designated LHCPs including the name phone number and contact email information"
"access control","A user (a patient) chooses to display his or her appointments in the current month together with his or her office visit dates prescription dates and lab procedure dates of the current month on a calendar for the current month"
"access control","A user (a patient patient representative or LHCP) can sort messages in his or her message inbox by either the senders last name or timestamp (but not both) in either ascending or descending order (where timestamps in descending order would have the most recent first)"
"access control","A user (a patient patient representative or LHCP) views the number of unread messages from his or her message inbox"
"access control","A user (a patient patient representative or LHCP) wishes to read a message from the message inbox or outbox"
"access control","A user (an LHCP or patient or representative) can modify his or her message displaying filter by modifying the following filtering criteria:the sender (ie the senders name is exactly the same as the specified string)"
"access control","A user (an LHCP or patient) chooses to display his or her appointments in the current month on a calendar for the current month"
"access control","A user (an LHCP or patient) wishes to view a list of his or her upcoming appointments (ie a list including appointments whose appointment date and start time is equal or later than the current date or time)"
"access control","A user can sort messages in his or her message outbox by the recipients last name or timestamp (but not both) in either ascending or descending order"
"access control","A user chooses to view physician satisfaction survey results"
"access control","After installation or upgrade consider removing(or ensuring no access to) to the following scripts which are not needed for general OpenEMR use:"
"access control","Access the desired sections by clicking on the appropriate tab and enter in the patients data as necessary then click Save"
"access control","Access to functionality within RFS system is dependent on the privileges or permission assigned to the role"
"access control","Access to such transactions from the Internet is blocked"
"access control","Additional issues are entered in the same manner click Back to return to the Patient Summary page and click Add next to the appropriate issue type or click Issues at the top of the page to see a complete list of all issues for this patient"
"access control","Administrator privileges are separated based on roles (eg site content developer system administrator)"
"access control","Advancing to the appropriate date using the arrows at the top of the screen shows the new appointment listed in the providers schedule"
"access control","After a message is sent the LHCP is directed to to his or her message outbox"
"access control","After a message is sent the patient or personal representative is directed to his or her message outbox"
"access control","An administrator can manage a standardized list of appointment types"
"access control","An administrator chooses to maintain the hospital listing"
"access control","An HCP can add commentary to a pending lab procedure"
"access control","An HCP can add commentary to a pending lab procedure and update the lab procedure status to completed"
"access control","An HCP can create a lab procedure for a given office visit"
"access control","An HCP can create a lab procedure for a given office visit"
"access control","An HCP can reassign a previously created lab procedure to a different Lab Technician if the lab procedure is not yet in the testing state"
"access control","An HCP can remove a previously created lab procedure"
"access control","An HCP can remove a previously created lab procedure for a given office visit"
"access control","An HCP can view a previously created lab procedure for a given office visit"
"access control","An HCP can view a previously created lab procedure for a given office visit"
"access control","An HCP chooses Office Visit Reminders and then to identify chronic patients who need an office visitolder patients who need a flu shotor any patient who is overdue for an immunization"
"access control","An HCP chooses to addor editpatient specific instructions document an office visit or modify an already documented office visit"
"access control","An HCP chooses to documentor editan office visit"
"access control","An HCP chooses to enter or edit personal health information"
"access control","An HCP may upload a photo of the patient as part of the patients demographic records"
"access control","An LHCPviews his or her iTrust homepage"
"access control","An LHCP can schedule an appointment with a patient"
"access control","An LHCP can see the blood pressure and glucose levelsor weight height and pedometer readingsfor the patients he or she is monitoring with two separate lists for physiologic andheight or weight or pedometer readings"
"access control","An LHCP can view a list of their upcoming appointment requests"
"access control","An LHCP chooses to send a message to a patient or representative (no multiple recipients allowed in a single message)"
"access control","An LHCP or patient or representative can modify and save his or her message displaying filteror view his or her message inboxincluding only the messages satisfying the specified filtering criteria in the saved filter"
"access control","An LHCP or patient or representative can modify and save his or her message displaying filteror view his or her message inboxincluding only the messages satisfying the specified filtering criteria in the saved filter"
"access control","An LHCP or patient or representative can sort his or her message inbox and message outbox"
"access control","An LHCP or UAP can add and delete patients from his or her monitoring list"
"access control","An LHCP selects to view additional information for a patient"
"access control","An LHCP views a list of pending appointment requests"
"access control","An LHCP views the number of submitted physiologic data monitoring reports of his or her patients for the current date"
"access control","An LHCP views the number of submitted weight or pedometer data monitoring reports of his or her patients for the current date"
"access control","An LHCP wants to send a message to a patient possibly and possibly that patients personal representativeor a patient or personal representative wants to send a message to one of their DLHCP or that of a person they are representing"
"access control","An LHCP wishes to reply to a message"
"access control","Another drop-down contains a list of physicians and clinics from the Address Book to which you can refer your patient"
"access control","At this point the LHCP can view a prescription list for that patientsorted by start date (the later date is ranked earlier)"
"access control","At this point the LHCP obtains a printable reportcontaining vital information for the patient:"
"access control","Click Add and select Referral from the drop-down list to begin a new Referral transaction"
"access control","Click Add to schedule an office visit"
"access control","Click Edit next to a transaction to edit its contents"
"access control","Click Edit to enter any information that may be incomplete"
"access control","Click Find Available to see a list of appointment times available for that provider for the next 7 days"
"access control","Click on a persons name to edit their contact information or click Add New to enter a new contact into your address book"
"access control","Click on the name of the new file to view it"
"access control","Click Save Immunization"
"access control","Click Save to update the status of the appointment"
"access control","Click Save when finished"
"access control","Click Save"
"access control","Click the Add a Pharmacy button to enter the contact information for your clinics pharmacy"
"access control","Click the Continue button"
"access control","Clicking Save now links the selected issue to the selected encounter"
"access control","Clicking Submit produces a report for each encounter in the date range and shows patient demographics and insurance information as well as the billing codes and amounts"
"access control","CMS official named in section 20 (or to his or her successor)"
"access control","Conversely if an Inpatient is discharged Ambulatory teams must be able to access the patientÃ¢â‚¬â„¢s clinical demographic history"
"access control","Data Recipient shall use appropriate safeguards to protect the IIHI from misuse or inappropriate disclosure and to prevent any use or disclosure of the IIHI other than as provided in this DUA or as otherwise required by law or regulation"
"access control","Database restricts access to stored procedures to authorized accounts only"
"access control","Direct access to database tables is prohibited"
"access control","Each row in the list includes their weight and pedometer reading numbers levels recording timestamp and whom reported the data (patient UAP name personal representative name)"
"access control","Each row in the message inbox or outbox includes the message subject the name of either the sender (only for the case of inbox) or recipient (only for the case of outbox) and timestamp"
"access control","Each user is associated with only one filter (being saved across login sessions) and applies only this saved filter"
"access control","Enter the appropriate information and click Save Form to return to the Encounter summary page"
"access control","Enter the payment amount as before and click Save"
"access control","Enter the payment amount next to the remaining balance and check Needs secondary billing"
"access control","Enter your note into the text field and click Save"
"access control","Entering a partial value into one or more fields and clicking the Search button presents you with a list of all insurance companies matching those parameters"
"access control","Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency"
"access control","ext click on Documents to see a list of patient documents that have been uploaded"
"access control","Fill in this information and click the Save button to add the new number"
"access control","For each entry in the patients basic health information history the HCP is presented with an automatically-calculated value of BMI (in the format of digits XXXX) calculated based on the formula (weight in pounds 703) or (height in inches height in inches)"
"access control","For example selecting Detailed from the Established Patient drop-down adds the associated CPT code to the list"
"access control","HCPs can return to an office visit and modify or delete the fields of the office visit"
"access control","He or she can report his or her daily height (in the format of digits XXXX with the units of feet) daily weight (in the format of digits X with units of lbs) possibly and possibly pedometer readings (in the format of up to 10 digits of integer with units of footsteps)"
"access control","He or she can report the blood pressure (systolic and diastolic)possibly and possibly glucose levelsfor the patient"
"access control","He or she can report the blood pressure (systolic and diastolic)possibly and possibly glucose levelsfor the patient"
"access control","He or she can select a patient and then enter data"
"access control","He or she can select a patient and then enter data"
"access control","He or she is presented with a list of the patients for which he or she is allowed to report measurements"
"access control","He or she is presented with a list of the patients whose at least one physiologic data type is specified to be under monitoring and for which he or she is allowed to report measurements"
"access control","He or she is presented with a list of the patients whose at least one physiologic data type is specified to be under monitoring and for whom he or she is allowed to report measurements"
"access control","He or she is presented with a list of the patients whose height weight or pedometer data type is specified to be under monitoring and for which he or she is allowed to report measurements"
"access control","He or she is then presented with the actual operational profile of the operations of the iTrust Medical Records where the use percentage is the % of total transactions for each particular transaction logging type broken-down by each of the user types (patient LHCP UHCP admin tester)"
"access control","Here you can also attach a note to the document associate it with a particular issue or move it to a different category or patient"
"access control","Here you can edit a users Password Facility information and Access Control as well as their authorization status"
"access control","His or her appointments shall be displayed on the calendar"
"access control","If a health care clearing house is part of a larger organization the clearing house must implement policies and procedures that protect the electronic protected health information of the clearing house from unauthorized access by the larger organization"
"access control","If a patient has several Outpatient visits and is admitted as an Inpatient care teams must be able to access the patientÃ¢â‚¬â„¢s clinical history"
"access control","If a patient or personal health representative has not taken an office visit satisfaction survey for an office visit yet the patient may choose to take the survey for an office visit (if the survey has already been taken the patient or personal health representative will not have the ability to take the survey or view their previously submitted survey) (UC24)"
"access control","If a primary provider has been entered for that patient they will be selected automatically"
"access control","If it does Click the Continue button"
"access control","If the desired insurance company is not yet entered you can also add it here by completing all the fields and clicking Save as New"
"access control","If the lab procedure status is marked as completed the patient can see the results and the HCP-provided comments"
"access control","If the LHCP is not one of the patients DLHCP or the UAP associated with one of their DLHCP a message is sent to the patient and their personal representative"
"access control","If the patient is also the insured party then selecting self from the drop-down list will automatically populate the Subscriber section with the relevant data for you"
"access control","If the patient is not already in the system you can select New or Search from the menu to begin entering their information"
"access control","If the requested appointment time does conflict with an existing appointments the patient is presented with a list of the three next non-overlapping available appointment times within 7 days of the requested date"
"access control","If you are adding a physician to your address book be sure to include their UPIN and other ID numbers for billing and referrals"
"access control","If you have the patient on the phone now would be a good time to confirm that their contact and insurance information is up to date"
"access control","Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner"
"access control","Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part"
"access control","Implement policies and procedures for granting access to electronic protected health information for example through access to a workstation transaction program process or other mechanism"
"access control","Implement policies and procedures that based upon the entitys access authorization policies establish document review and modify a users right of access to a workstation transaction program or process"
"access control","Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information as provided under paragraphof this section and to prevent those workforce members who do not have access under paragraphof this section from obtaining access to electronic protected health information"
"access control","Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed while ensuring that properly authorized access is allowed"
"access control","Implement policies and procedures to protect electronic protected health information from improper alteration or destruction"
"access control","Implement procedures for terminating access to electronic protected health information when the employment of a workforce member ends or as required by determinations made as specified in paragraphof this section"
"access control","Implement procedures for the authorization possibly and possibly supervision of workforce members who work with electronic protected health information or in locations where it might be accessed"
"access control","Implement procedures to control and validate a persons access to facilities based on their role or function including visitor control and control of access to software programs for testing and revision"
"access control","Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate"
"access control","Implement procedures to regularly review records of information system activity such as audit logs access reports and security incident tracking reports"
"access control","Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of"
"access control","Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in Ã‚Â§164308"
"access control","Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in Ã‚Â§164308"
"access control","Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network"
"access control","In the Add New Person dialog box select a type and enter their name and address"
"access control","In the calendar the date entry with a laboratory procedure (ie the entry of the its last status update date) shall display a label as the LOINC code for the laboratory procedure"
"access control","In the calendar the date entry with a prescription date (ie the date of the office visit the medication was prescribed on) shall display a label for the medications prescribed (ie NDC see Data Format 66) in the prescription"
"access control","In the calendar the date entry with an appointment shall display a label as the appointment type name for the appointment"
"access control","In the calendar the date entry with an office visit shall display a label as the diagnoses (ie ICD-9CM codes) for the office visit"
"access control","In the list of in transit lab proceduresthe Lab Technician can update the status to received when the sample has been received in his or her lab"
"access control","In the Search or Add Patient page enter the patients name & birth date"
"access control","Included is a search feature where you can search for and select from the thousands of billing codes in the database"
"access control","LHCPs and patients or representatives may reply to messages"
"access control","LHCPs can edit or delete future appointments"
"access control","Logging in as a provider presents you with the Calendar page showing only that providers schedule by default"
"access control","LOINC data from this file is added to a listing of allowable physical services (including laboratory procedures that an HCP can use)"
"access control","Look for an appropriate billing code by entering a search term in the box to the left of the Search button"
"access control","Make sure to enter the correct duration for the appointment and click Save"
"access control","Mousing over the patients name displays a toot-tip with information about that patient such as date of birth"
"access control","Next select History at the top of the Patient Summary page This brings up a page containing information about the patients medical history"
"access control","Note that the administrator is not allowed through the system interface to delete an existing entry or modify the hospital ID number in an existing entry"
"access control","Note that the administrator is not allowed through the system interface to delete an existing entry or modify the reason ID number in an existing entry"
"access control","Now that the clinic and all its practitioners are set up you can begin scheduling appointments for your patients"
"access control","Now you will see a block of available time slots for that providers schedule"
"access control","On the associated office visit page the patient can see the current status of the lab procedure the HCP name and the timestamp"
"access control","On the LHCP homepage the LHCP views a notification center with a list of his or her upcoming appointments for the current datenumber of physiologic data monitoring reports of his or her patients for the current datenumber of weight or pedometer data monitoring reports of his or her patients for the current datenumber of unread messages from his or her message inboxnumber of new referrals (UC33) number of pending lab procedures (UC26) and number of pending appointment requests (UC22)"
"access control","Once payment has been billed and received from secondary insurance it can be entered in the same way"
"access control","Once payment has been received it can be entered into the invoice in the same manner as the insurance payments"
"access control","Once the date range is selected the LHCP can see the patient name patient phone number personal representative (name and phone number) if applicable and the blood pressure glucose levels height weight and pedometer readings as well as whom reported the data (patient UAP name personal representative name) for that date range"
"access control","Once the desired file has been selected click Upload to save the file in OpenEMR"
"access control","Once the new issues have been added successfully you should see an updated list of all the issues that have been entered for this patient"
"access control","Once you have entered the correct information click Save to save any changes or add the new company to the list"
"access control","Once your users information has been updated successfully click Save to return to the UserorGroups Administration page"
"access control","Once youve entered the correct information click Save to add your new pharmacy"
"access control","Only the applicable input entries (those whose corresponding data types of the patient are specified to be under monitoring) are displayed to the patient"
"access control","Only the applicable input entries (those whose corresponding data types of the patient are specified to be under monitoring) are displayed to the patient"
"access control","Only the applicable input entries (those whose corresponding data types of the patient are specified to be under monitoring) are displayed to the UAP"
"access control","OpenEMRs calendar system includes a status indicator allowing doctors and staff to see at a glance what is going on with all appointments and the corresponding encounters for the day"
"access control","Providers can see the status of any given appointment indicated by the symbol shown between the appointment time and the patients name"
"access control","Realtor shall be able to generate a CMA report based on property criteria"
"access control","Rights and privileges are assigned based on authorization roles"
"access control","Role rights and privileges are identified and maintained in an access control list"
"access control","Roles are mapped to user and data interfaces"
"access control","Select History at the top of the page to view a summary of the patients Medical History and Lifestyle information"
"access control","Select the appropriate encounter from the list on the right to highlight it"
"access control","Select the patients insurance company from the drop-down list or you can search for it by clicking Search or Add"
"access control","Selecting Add New presents a form for adding this providers numbers for another insurance company"
"access control","Selecting Insurance Companies from the links at the top of the page brings up a list of companies that have been added to your clinic"
"access control","Similar to an administrator a software tester is added by directly entering the software tester into the database by an administrator that has access to the database"
"access control","System allows authorization of administrators to manage restrictions or privileges associated with Users groups and processes including:"
"access control","System allows authorized site-specific users to manage site-specific user groups and user accounts up to and including their level of authority"
"access control","System allows restricting the rights privileges or access of processes to the minimum required for authorized tasks"
"access control","System allows restriction of rights privileges or access at the user and group level"
"access control","System allows revocation of the access privileges of a user without requiring deletion of the user:"
"access control","System provides a listing of privileged account holders within the System hosting environment"
"access control","System provides administrative ability to block usersÃ¢â‚¬â„¢ access during pre-defined off-hours"
"access control","System provides the ability to define user roles and user groups and associate these with user accounts"
"access control","System provides the ability to restrict access based on usersÃ¢â‚¬â„¢ accountsÃ¢â‚¬â„¢ privileges"
"access control","System provides the ability to specify roles and privileges based on login locations"
"access control","System requires password re-entry before user is allowed to perform functions predefined as Ã¢â‚¬Å“high securityÃ¢â‚¬Â"
"access control","System resources are mapped to System roles and allowed operations for each role"
"access control","System restricts transactions involving financial or sensitive data to authorized user sessions originating on the County Intranet WAN only"
"access control","The admin must specify a specialty for a new LHCP (general physician heart surgeon OB-GYN pediatrician surgeon) and for a new LT ( blood tissue or general)"
"access control","The administer is presented with two lists of NDC codes or names"
"access control","The administrator chooses a drug from each list to record an interaction between the two drugs"
"access control","The administrator chooses to maintain the overriding reasons that an HCP can select from"
"access control","The administrator may choose to upload a file containing LOINC code information"
"access control","The administrator recordsor deletesa drug interaction between two prescription drugs"
"access control","The administrator selects a file containing LOINC information and chooses to upload it"
"access control","The administrator will maintain listing of allowable immunizations that an HCP can use"
"access control","The administrator will maintain listing of allowable physical services (including laboratory procedures) that an HCP can use"
"access control","The administrator will storehospital Id number for the hospitalandup to 30 alphanumeric characters giving the name of the hospital"
"access control","The administrator will storethe CPT code (The CPT code set accurately describes medical surgical and diagnostic services and is designed to communicate uniform information about medical services and procedures among physicians coders patients accreditation organizations and payers for administrative financial and analytical purposes"
"access control","The administrator will storethe ICD-9CM code (The International Statistical Classification of Diseases and Related Health Problems (most commonly known by the abbreviation ICD) provides codes to classify diseases and a wide variety of signs symptoms abnormal findings complaints social circumstances and external causes of injury or disease"
"access control","The administrator will storethe National Drug Code (The National Drug Code (NDC) is a universal product identifier used in the United States for drugs intended for human use"
"access control","The administrator will store information of a LOINC code (Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations"
"access control","The answers to the survey are stored"
"access control","The Appointments and Encounters Report ( ReportsVisitsAppt-Enc ) gives you a useful cross-reference of appointments with their corresponding encounters"
"access control","The Appointments Report (ReportsVisitsAppointments) gives you a list of appointments for a given provider or for all providers in a specified date range"
"access control","The bottom window also shows any notes left for that provider about their patients"
"access control","The counts shown include:the number of cases for the exact zip code provided andthe number of cases for the region (region defined by the zip code that match the first three numbers in the provided zip code (eg if zip code 27695 is provided all data with zip code 276xx is analyzed where each x is any digit from-9)"
"access control","The covered entity must to the extent possible give the individual access to any other protected health information requested after excluding the protected health information as to which the covered entity has a ground to deny access"
"access control","The data in the database is analyzed according to the influenza epidemic heuristic to determine if an epidemic is occurring in the region defined by the zip code that match the first three numbers in the provided zip code (eg if zip code 27695 is provided all data with zip code 276xx is analyzed where each x is any digit from-9)"
"access control","The data in the database is analyzed according to the malaria epidemic heuristic to determine if an epidemic is occurring in the region defined by the zip code that match the first three numbers in the provided zip code (eg if zip code 27695 is provided all data with zip code 276xx is analyzed where each x is any digit from-9)"
"access control","The data in the database is analyzed according to the risk factors for the disease to determine if the patient exhibits one or more risk factors"
"access control","The date entry including conflicting appointments is highlighted in bold (a conflicting appointment is one that has overlap in its appointment duration period with that of at least another appointment of the same user)"
"access control","The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base"
"access control","The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions"
"access control","The drop-down list above will then be populated with any billing codes that match your search parameters"
"access control","The drug desired to be prescribed is checked against the patients drug allergies"
"access control","The drug desired to be prescribed is checked for interactions between other drugs currently taken by the patient"
"access control","The EOB Invoice page contains a detailed list of payments made on this invoice so far"
"access control","The HCP can add the prescription to the list of medications (UC37)"
"access control","The HCP can choose to add or remove another registered user as a personal health representative to that patient"
"access control","The HCP can choose to graph the height or weight of the patient"
"access control","The HCP can choose to remove the lab procedure as long as the status is either in transit or received"
"access control","The HCP can graph height or weight of the patient over the last 3 calendar years"
"access control","The HCP can indicate the patient has passed away providing an appropriate diagnosis code"
"access control","The HCP can select a medication from a pull down list and add it to the list of medications the patient is allergic to"
"access control","The HCP can view patient name lab procedure code current lab procedure status timestamp and Lab Technician name"
"access control","The HCP chooses Potential Prescription-Renewals and is presented with a list of patientsthat satisfy all of the three conditions:patients for whom the HCP is a DLHCPspecial-diagnosis-history patients patients whose prescriptions will expire within 7 days (including the 7th day) from the current date"
"access control","The HCP chooses a specific referral from the list to view complete details about the referral: patient name receiving HCP name and specialty time generated priority office visit date and notes"
"access control","The HCP documents the office visit date hospital location of the office visit if any (the default should be the HCPs home location) and notes about an office visit"
"access control","The HCP enters a MIDor name of a patient and confirms their selection"
"access control","The HCP enters the following information under a section for patient specific instructions: a descriptive name for the instructions (required)"
"access control","The HCP has selected a medication prescribed from a pull down list"
"access control","The HCP is notified of any current or future prescriptions to which the patient has a drug allergy"
"access control","The HCP is notified of possible interactions"
"access control","The HCP is presented with achart giving the chosen measurements (either height or weight) of the patient spanning the last 3 calendar years of data averaged by quarters (January-March April-June July-September October-December)"
"access control","The HCP is presented with a confirmation containing the name of the patient and determines if it is the patient they intend to deactivate"
"access control","The HCP may also add a patient referral (UC33)"
"access control","The HCP may send the referral cancel the referralor edit the referral"
"access control","The HCP may sort the list of referrals by patient name receiving HCP name time generated possibly and possibly priority"
"access control","The HCP provides the dosage in milligrams the start and end date for the prescription and any special instructions"
"access control","The HCP saves the new lab procedure or cancels the lab procedure creation"
"access control","The HCP selects a different Lab Technician from the list of available Lab Technicians (displayed with Lab Technician specialty and the number of pending lab procedures in his or her priority queue grouped by priority)"
"access control","The HCP selects a patient by typing in the MID of the patient"
"access control","The HCP selects a procedure code a priority from 1 to 3 (1=most important 3=not as important) and Lab Technician (listed with his or her specialty and the number of pending lab procedures in his or her priority queue grouped by priority)"
