class,sentence
access control,then presented with actual operational profile operations itrust medical records where use percentage total transactions for each particular transaction logging type brokendown each types patient lhcp uhcp admin tester
access control,here also attach note document associate with particular issue move different category patient
access control,here edit users password facility information access control as well as their authorization status
access control,appointments shall be displayed on calendar
access control,if health care clearing house part larger organization clearing house must implement policies procedures protect electronic protected health information clearing house from unauthorized access larger organization
access control,if patient has several outpatient visits admitted as inpatient care teams must be able access patients clinical history
access control,if patient personal health representative has taken office visit satisfaction survey for office visit yet patient may choose take survey for office visit survey has already been taken patient personal health representative will take survey view their previously submitted survey uc
access control,if primary provider has been entered for patient they will be selected automatically
access control,if does click continue button
access control,if desired insurance company yet entered also add here completing all fields clicking save as new
access control,if lab procedure status marked as completed patient see results hcpprovided comments
access control,if lhcp one patients dlhcp uap associated with one their dlhcp message sent patient their personal representative
access control,if patient also insured party then selecting self from dropdown list will automatically populate subscriber section with relevant data for you
access control,if patient already in system select new search from menu begin entering their information
access control,if requested appointment time does conflict with existing appointments patient presented with list three next nonoverlapping available appointment times within days requested date
access control,if adding physician your address book be sure include their upin other id numbers for billing referrals
access control,if have patient on phone now would be good time confirm their contact insurance information up date
access control,implement electronic mechanisms corroborate electronic protected health information has been altered destroyed in unauthorized manner
access control,implement policies procedures for authorizing access electronic protected health information consistent with applicable requirements subpart e part
access control,implement policies procedures for granting access electronic protected health information for example through access workstation transaction program process other mechanism
access control,implement policies procedures based upon entitys access authorization policies establish document review modify users right access workstation transaction program process
access control,implement policies procedures ensure all members its workforce have appropriate access electronic protected health information as provided under paragraph of section prevent those workforce members do have access under paragraph of section from obtaining access electronic protected health information
access control,implement policies procedures limit physical access its electronic information systems facility facilities in which they housed while ensuring properly authorized access allowed
access control,implement policies procedures protect electronic protected health information from improper alteration destruction
access control,implement procedures for terminating access electronic protected health information employment workforce member ends as required determinations made as specified in paragraph of section
access control,implement procedures for authorization possibly possibly supervision workforce members work with electronic protected health information in locations where might be accessed
access control,implement procedures control validate persons access facilities based on their role function including visitor control control access software programs for testing revision
access control,implement procedures determine access workforce member electronic protected health information appropriate
access control,implement procedures regularly review records information system activity such as audit logs access reports security incident tracking reports
access control,implement security measures ensure electronically transmitted electronic protected health information improperly modified without detection until disposed of
access control,implement technical policies procedures for electronic information systems maintain electronic protected health information allow access only those persons software programs have been granted access rights as specified in 
access control,implement technical security measures guard against unauthorized access electronic protected health information being transmitted over electronic communications network
access control,add new person dialog box select type enter their name address
access control,calendar date entry with laboratory procedure ie entry its last status update date shall display label as loinc code for laboratory procedure
access control,calendar date entry with prescription date ie date office visit medication was prescribed on shall display label for medications prescribed ie ndc see data format in prescription
access control,calendar date entry with appointment shall display label as appointment type name for appointment
access control,calendar date entry with office visit shall display label as diagnoses ie icdcm codes for office visit
access control,list in transit lab procedures lab technician update status received sample has been received in lab
access control,search add patient page enter patients name birth date
access control,included search feature where search for select from thousands billing codes in database
access control,lhcps patients representatives may reply messages
access control,lhcps edit delete future appointments
access control,logging in as provider presents with calendar page showing only providers schedule default
access control,loinc data from file added listing allowable physical services including laboratory procedures hcp use
access control,look for appropriate billing code entering search term in box left search button
access control,make sure enter correct duration for appointment click save
access control,mousing over patients name displays toottip with information about patient such as date birth
access control,next select history at top patient summary page brings up page containing information about patients medical history
access control,note administrator allowed through system interface delete existing entry modify hospital id number in existing entry
access control,note administrator allowed through system interface delete existing entry modify reason id number in existing entry
access control,now clinic all its practitioners set up begin scheduling appointments for your patients
access control,now will see block available time slots for providers schedule
access control,on associated office visit page patient see current status lab procedure hcp name timestamp
access control,on lhcp homepage lhcp views notification center with list upcoming appointments for current datenumber physiologic data monitoring reports patients for current datenumber weight pedometer data monitoring reports patients for current datenumber unread messages from message inbox number new referrals uc number pending lab procedures uc number pending appointment requests uc
access control,once payment has been billed received from secondary insurance be entered in same way
access control,once payment has been received be entered into invoice in same manner as insurance payments
access control,once date range selected lhcp see patient name patient phone number personal representative name phone number applicable blood pressure glucose levels height weight pedometer readings as well as reported data patient uap name personal representative name for date range
access control,once desired file has been selected click upload save file in openemr
access control,once new issues have been added successfully should see updated list all issues have been entered for patient
access control,once have entered correct information click save save any changes add new company list
access control,once your users information has been updated successfully click save return userorgroups administration page
access control,once youve entered correct information click save add your new pharmacy
access control,only applicable input entries those whose corresponding data types patient specified be under monitoring displayed patient
access control,only applicable input entries those whose corresponding data types patient specified be under monitoring displayed uap
access control,openemrs calendar system includes status indicator allowing doctors staff see at glance what going on with all appointments corresponding encounters for day
access control,providers see status any given appointment indicated symbol shown between appointment time patients name
access control,realtor shall be able generate cma report based on property criteria
access control,rights privileges assigned based on authorization roles
access control,role rights privileges identified maintained in access control list
access control,roles mapped data interfaces
access control,select history at top page view summary patients medical history lifestyle information
access control,select appropriate encounter from list on right highlight it
access control,select patients insurance company from dropdown list search for clicking search add
access control,selecting add new presents form for adding providers numbers for another insurance company
access control,selecting insurance companies from links at top page brings up list companies have been added your clinic
access control,similar administrator software tester added directly entering software tester into database administrator has access database
access control,allows authorization administrators manage restrictions privileges associated with users groups processes including
access control,allows authorized sitespecific users manage sitespecific groups accounts up including their level authority
access control,allows restricting rights privileges access processes minimum required for authorized tasks
access control,allows restriction rights privileges access at group level
access control,allows revocation access privileges without requiring deletion user
access control,provides listing privileged account holders within system hosting environment
access control,provides administrative ability block users access during predefined offhours
access control,provides ability define roles groups associate these with accounts
access control,provides ability restrict access based on users accounts privileges
access control,provides ability specify roles privileges based on login locations
access control,requires password reentry before allowed perform functions predefined as high security
access control,resources mapped system roles allowed operations for each role
access control,restricts transactions involving financial sensitive data authorized sessions originating on county intranet wan only
access control,admin must specify specialty for new lhcp general physician heart surgeon obgyn pediatrician surgeon for new lt blood tissue general
access control,administer presented with two lists ndc codes names
access control,administrator chooses drug from each list record interaction between two drugs
access control,administrator chooses maintain overriding reasons hcp select from
access control,administrator may choose upload file containing loinc code information
access control,administrator recordsor deletesa drug interaction between two prescription drugs
access control,administrator selects file containing loinc information chooses upload it
access control,administrator will maintain listing allowable immunizations hcp use
access control,administrator will maintain listing allowable physical services including laboratory procedures hcp use
access control,administrator will storehospital id number for hospitalandup alphanumeric characters giving name hospital
access control,administrator will store cpt code cpt code set accurately describes medical surgical diagnostic services designed communicate uniform information about medical services procedures among physicians coders patients accreditation organizations payers for administrative financial analytical purposes
access control,administrator will store icdcm code international statistical classification diseases related health problems most commonly known abbreviation icd provides codes classify diseases wide variety signs symptoms abnormal findings complaints social circumstances external causes injury disease
access control,administrator will store national drug code national drug code ndc universal product identifier used in united states for drugs intended for human use
access control,administrator will store information loinc code logical observation identifiers names codes loinc database universal standard for identifying medical laboratory observations
access control,answers survey stored
access control,appointments encounters report reports visits apptenc gives useful crossreference appointments with their corresponding encounters
access control,appointments report reports visits appointments gives list appointments for given provider for all providers in specified date range
access control,bottom window also shows any notes left for provider about their patients
access control,counts shown include number cases for exact zip code provided number cases for region region defined zip code match first three numbers in provided zip code eg zip code provided all data with zip code xx analyzed where each x any digit from
access control,covered entity must extent possible give individual access any other protected health information requested after excluding protected health information as which covered entity has ground deny access
access control,data in database analyzed according influenza epidemic heuristic determine epidemic occurring in region defined zip code match first three numbers in provided zip code eg zip code provided all data with zip code xx analyzed where each x any digit from
access control,data in database analyzed according malaria epidemic heuristic determine epidemic occurring in region defined zip code match first three numbers in provided zip code eg zip code provided all data with zip code xx analyzed where each x any digit from
access control,data in database analyzed according risk factors for disease determine patient exhibits one more risk factors
access control,date entry including conflicting appointments highlighted in bold conflicting appointment one has overlap in its appointment duration period with at least another appointment same user
access control,disputes system must prevent users from accessing any dispute cases do belong their cardholder base
access control,disputes system must provide different levels access with regard disputes case initiation followup actions
access control,dropdown list above will then be populated with any billing codes match your search parameters
access control,drug desired be prescribed checked against patients drug allergies
access control,drug desired be prescribed checked for interactions between other drugs currently taken patient
access control,eob invoice page contains detailed list payments made on invoice so far
access control,hcp add prescription list medications uc
access control,hcp choose add remove another registered as personal health representative patient
access control,hcp choose graph height weight patient
access control,hcp choose remove lab procedure as long as status either in transit received
access control,hcp graph height weight patient over last calendar years
access control,hcp indicate patient has passed away providing appropriate diagnosis code
access control,hcp select medication from pull down list add list medications patient allergic to
access control,hcp view patient name lab procedure code current lab procedure status timestamp lab technician name
access control,hcp chooses potential prescriptionrenewals presented with list patientsthat satisfy all three conditionspatients for hcp dlhcpspecialdiagnosishistory patients patients whose prescriptions will expire within days including th day from current date
access control,hcp chooses specific referral from list view complete details about referral patient name receiving hcp name specialty time generated priority office visit date notes
access control,hcp documents office visit date hospital location office visit any default should be hcps home location notes about office visit
access control,hcp enters midor name patient confirms their selection
access control,hcp enters following information under section for patient specific instructions descriptive name for instructions required
access control,hcp has selected medication prescribed from pull down list
access control,hcp notified any current future prescriptions which patient has drug allergy
access control,hcp notified possible interactions
access control,hcp presented with achart giving chosen measurements either height weight patient spanning last calendar years data averaged quarters januarymarch apriljune julyseptember octoberdecember
access control,hcp presented with confirmation containing name patient determines patient they intend deactivate
access control,hcp may also add patient referral uc
access control,hcp may send referral cancel referralor edit referral
access control,hcp may sort list referrals patient name receiving hcp name time generated possibly possibly priority
access control,hcp provides dosage in milligrams start end date for prescription any special instructions
access control,hcp saves new lab procedure cancels lab procedure creation
access control,hcp selects different lab technician from list available lab technicians displayed with lab technician specialty number pending lab procedures in priority queue grouped priority
access control,hcp selects patient typing in mid patient
access control,hcp selects procedure code priority from most important as important lab technician listed with specialty number pending lab procedures in priority queue grouped priority
access control,hcp uploads commaseperated value file containing one patient per row
access control,hcps medical identification number should also be maintained
access control,health care personnel may enter edit personal health information including editing historical values from data format immunizations office visit information date diagnoses medication name attending physician but notes laboratory procedures family history mids patients mother father body mass index bmiand drug allergies
access control,indigent patients report lists all encounters for patients were seen without insurance
access control,input data timestamp fact status was reported patient representative their mid saved
access control,input data timestamp fact status selfreported saved
access control,input data timestamp fact status was reported case manager their mid saved
access control,input data timestamp fact status was reported patient representative mid saved
access control,insurance distribution report listed under reportsinsurance shows how many patients seen over given time period use each kind insurance
access control,lab technician enters lab procedure numerical result confidence interval for lab procedure with status testing
access control,lab technician sees list all lab procedures assigned him her have status received followed list lab procedures remain in transit
access control,lhcp select patient obtain additional information about patient
access control,lhcp view comprehensive patient report for specified patient including information below
access control,lhcp chooses examine patient for which preconditions do apply eg adult shouldnt be tested for child diabetes lhcp prompted no analysis occur
access control,lhcp chooses schedule appointment with patient assumed lhcp patient have already worked out details appointment in person via telephone outside system
access control,lhcp chooses view report all patients single either gender in specified age rangewith none one more diagnoses
access control,lhcp chooses view all patients with which has ever had office visit with
access control,lhcp clicks appointment view more details
access control,lhcp enters patient midselects type appointment from pulldown menu existing appointment types enter appointment date start time only date time equal after current date time allowed interface shall provide both option typing in specific date in date format option selecting date from calendar for current month enter comment optional up characters such as reason for appointment
access control,lhcp enters text response message up characters wishes send then clicks send button
access control,lhcp able view comprehensive group report
access control,lhcp able view comprehensive patient reportfrom list requests
access control,lhcp notified new edited appointment time conflicts with another existing appointment
access control,lhcp presented with list other appointments conflict with new one
access control,lhcp presented with listing all patients view physiologic data reported during current date
access control,lhcp presented with listing all patients view weight pedometer data reported during current date
access control,lhcp presented with listing all patients whose at least one physiologic data type specified be under monitoring with their blood pressure glucose levels recording timestamp reported data patient uap name personal representative name
access control,lhcp presented with option approve reject each pending appointment request
access control,lhcp provided bar chart diagnosis counts during specified time period as well as yes no answer on whether epidemic occurring during any consecutive two weeks during time period
access control,lhcp provided with bar chart diagnosis counts during specified time period as well as yes no answer on whether epidemic occurring during any consecutive two weeks during time period
access control,lhcp then provided counts for specified time period as well as bar chart
access control,lhcp unable edit remove any past appointments
access control,lhcp opens message which wishes replyand then clicks reply link above message text
access control,lhcp requests comprehensive report for all patients with specified gender age diagnosis
access control,lhcp types subject up characters text message up characters clicks send button
access control,lhcp views list requests has made for reports with status pertinent information about requests
access control,lhcp views message inbox
access control,lhcps name specialty address date office visit whether lhcp dlhcp for patient indicated
access control,medication checked against patients current future prescriptions
access control,message will display risk factors patients exhibit
access control,notification center also displays list patient patient representee upcoming appointments information designated hcpand number unread messages from message inboxnumber new referrals uc number unviewed completed lab procedures uc
access control,page also includes links patients medical history documents etc at top screen as well as list issues associated with patient any appointments they may have scheduled in column along righthand side
access control,patient receiving hcp receive message uc indicating referral was canceled
access control,patient also add lhcp their provider list searching for name possibly possibly specialty lhcpand then selecting add hcp their list providers
access control,patient select view contact information selected lhcp shown in expired prescription list
access control,patient chooses specific referral from list view complete details about referral sending hcp name specialty receiving hcp name specialty time generated priority office visit date notes
access control,patient chooses my diagnoses presented with listing all their own diagnoses sorted diagnosis date more recent first
access control,patient chooses request appointment with lhcp
access control,patient chooses view all lhcps patient has ever had office visit with those had designated
access control,patient presented with list physical services populated loinc codes uc currently stored in itrust
access control,patient provided with following for each physician type practices in zip code based upon address zipcode provided in uc match first three digits provided zip code
access control,patient personal health representative see abbreviated health history their siblings parents both sets grandparents for which mids available in itrust
access control,patient personal health representative see patient personal health information including historical values immunizations office visit information date diagnoses medication name attending physician but notes laboratory procedures fortheir own records records for personal representative
access control,patient representative chooses one these dlhcp types subject up characters text message up characters clicks send button
access control,patient representative enters text response message up characters wishes send then clicks send button
access control,patient representative presented with pull down menu dlhcp
access control,patient representative opens message which wishes replyand then clicks reply link above message text
access control,patient requests closest hospitals so only nearby hospitals presented
access control,patient selects lhcp from provider list
access control,patient selects one these appointments request saved
access control,patients choose toggle between designating undesignating any lhcp as being dlhcp for themselves
access control,practice administration page initially presents with list your clinics pharmacies
access control,presented patient information shall include each patients name home phone number so reminder calls be made
access control,allow save property search results
access control,public health agent select see detail specific report
access control,public health agent may also choose remove adverse event report such as based upon communication with reporter because report appears be bogus
access control,realtor shall be able retrieve map showing property locations for specified area
access control,receiving hcp presented with list referrals sorted priority from most important least important
access control,receiving hcp then selects referral view details presented with name specialty sending hcp patients name referral notes referral priority office visit date with link office visit time referral was created
access control,righthand side patient summary shows list all current future appointments for patient
access control,role determines their viewing editing capabilities rolebased access control
access control,row for each conflicting appointment highlighted in bold conflicting appointment one has overlap in its appointment duration period with at least another appointment same user
access control,same process used create repeating out office event
access control,sending hcp may edit priority referral possibly possibly referral notes
access control,sending hcp then chooses save edits cancel edits reenter data
access control,status laboratory procedure has been updated uc s
access control,allows authorized users merge matching records
access control,has capability accommodate multiple levels rolebased access restrict access appropriate role
access control,allow users overriding all parts system provided guideline protocol prompt indicate reason for override
access control,applies security controls progress notes ensure date cannot be deleted altered except within current session authorized user
access control,lock down orders restricted specific groups physicians services alerts defined user
access control,accommodate provider researcher account types
access control,specify level authorization make decisions on behalf patient designate primary secondary caregivers
access control,must be able associate permissions with using one more following access controls userbased access rights assigned each rolebased users grouped access rights assigned these groups contextbased rolebased with additional access rights assigned restricted based on context transaction such as timeofday workstation location emergencymode etc support removal users privileges without deleting from system
access control,restrict system administrator from changing log activity
access control,allow authorized users update directory
access control,be able call seller buyer schedule appointment
access control,enable administrator add new entry for hospital modify hospital name in existing entry
access control,enable administrator add new entry for reasonor modify reason name in existing entry
access control,limit functionality based on following access rights
access control,specify roles control access role to
access control,suspend access based on preset date based on hospital policy requiring renewal access approval on variable basis for noncounty employees
access control,suspend access based on tabledriven parameter ie employment status
access control,suspend useraccess after organization defined inactivity period ie days
access control,include documentation minimal privileges necessary for each service protocol necessary provide ehr functionality possibly possibly serviceability
access control,notify realtor seller buyer responds appointment request
access control,prevent modifications audit records
access control,prohibit all users read access audit records except those users have been granted explicit readaccess
access control,protect stored audit records from unauthorized deletion
access control,provide efficient flexible way control administer multiple levels access
access control,provide authorized administrators with capability read all audit information from audit records in one following two ways provide audit records in manner suitable for interpret information
access control,for clinical other authorized view full content finalized note
access control,for authorized administrators assign restrictions privileges users groups
access control,identify certain information as confidential only make accessible appropriately authorized users
access control,prevent specified from accessing designated patients chart
access control,store reason id number for reasonandup alphanumeric characters giving name storereason id number for reasonandup alphanumeric characters giving name reason
access control,update create new property listings in mls
access control,supports bed board application transfer discharge patients as well as update status bed
access control,lhcp selects patient from list requested reports
access control,patient personal health representative choose view list their own prescriptions prescriptions for person health representative choosing one patient from list these patients
access control,also elect see detailed breakdown cash receipts itemizing each procedure for which charge was made
access control,choose influenza diagnosis and type in desired zip codeand week which may be selected start end date start date only calendar control dropdown any other suitable means within last year
access control,choose malaria diagnosis and type in desired zip codeand week which may be selected start end date start date only calendar control dropdown any other suitable means within last year
access control,choose any diagnosis codeand type in desired patient zip codeand start end date
access control,choose examine recent trends in diagnoses
access control,select laboratory procedure from calendar read laboratory procedures details
access control,select appointment from calendar read appointments details
access control,select office visit from calendar read visits details
access control,chooses open message inbox outbox
access control,chooses open upcoming appointment list
access control,has successfully changed password uc s
access control,presented with two windows calendar below messages page
access control,selects message from message inbox outbox read clicking read link beside row for message then message subject name sender name recipient timestamp message text shall be displayed in new page
access control,selects prescription from calendar read its details clicking read details link beside below medication displayed for prescription then details for prescription shall be displayed in new page including medications prescribed ie ndc see data format date prescribed start date end date for each prescription name doctor prescribed medication
access control,then persons electronic records accessible via itrust medical records system
access control,there ten roles in itrust medical records system
access control,they see diagnoses related following high blood pressure systolic blood pressure over mmhg possibly possibly diastolic blood pressure over mmhg high cholesterol hdl good cholesterol levels under mg dl milligrams per deciliter possibly possibly triglyceride level over mg dldiabetes cancer heart disease smoking cause death family member deceased
access control,this also selects newly added insurance company for patient
access control,this brings up list any contacts matching your search parameters
access control,this brings patients summary page as well as past encounters documents page which lists any previous encounters files were uploaded for patient
access control,this page contains list your clinics users
access control,this produces report including all specified patient information
access control,this will pop up lightbox with text field for entering note as well as dropdown lists for selecting type note person note addressed
access control,this will present with list all contacts currently contained in your address book
access control,through personal health records page lhcp chooses chronic disease patient
access control,add more categories click on desired parent folders name fill in name new document type click add category
access control,add one these clearing houses click on x partners then click add new partner button
access control,change status given appointment doubleclick on appointment block
access control,create new facility click add enter relevant data as did for other clinic
access control,do simply click on name clinic in case your clinic name here edit its details
access control,locate patient in system enter all part their name into search field in bottom left corner screen below navigation list click name
access control,see new file click on plus sign next appropriate document category which displays list all files in category
access control,view another providers schedule select desired from list left calendar
access control,upon entering comment lab procedure status updated completed
access control,upon notice allergies possibly possibly interactions hcp must either choose proceed with prescriptionor cancel prescription remain on office visit page
access control,upon sending referral patient sending hcp receiving hcp receive message summarizing newly created referral information sending hcp name specialty receiving hcp name specialty patient name referral notes referral creation timestamp additionally sending receiving hcp messages include referral priority
access control,user access should be limited permissions granted their role each level in pcg hierarchy will be assigned role users will be assigned these roles
access control,patient active within system has option generating report for specific patient
access control,access chart restricted provide means for appropriately authorized users break glass for emergency situations
access control,lhcp adds new appointmentor edits date time existing appointment lhcp notified any existing appointments occur during same time
access control,lhcp views list upcoming appointments they presented with option edit remove appointment
access control,hcp selects other reason hcp shall enter freestyle text provide details for other reasons
access control,lhcp approves rejects appointment request message sent patient indicating requestss status
access control,viewing calendar selects appointment from list read comment clicking read comments link beside row for appointment then comment for appointment shall be displayed in new page
access control,finished click create new patient
access control,finished click save update calendar
access control,finished entering your clinics information click save button update your clinic return facility administration page
access control,finished click save
access control,add new insurance company clicking add company
access control,also add lunch break in your practitioners schedules
access control,search for particular contact in address book entering their name possibly possibly specialty at top page clicking search
access control,see symbol next appointment time has changed indicate its new status
access control,should now be presented with patient summary page which contains summary patients identifying information including employment insurance provider information in sections may be expanded collapsed at will clicking link right desired section
access control,youll see soap form has been added list forms for encounter
access control,satisfied with your selections click generate report
database design,provide documentation templates support anticoagulation coumadin management
database design,provide documentation templates support psychiatry orthopedics oncology preoperative assessment history physical physical exam operative note labor delivery cardiac resuscitation dental note ophthalmology note family planning urology record sickle cell record neurology note
database design,provide order status updates during processing order
database design,provide patient acuity classification score other scoring tools eg pain scores
database design,provide following reports
database design,provide tool facilitate reconciliation patients medications past present across continuum care
database design,provide visual alerts in form popups color codes etc at point data entry displaying information on screen
database design,queue notification consultation needed consultant notify consultant completion including consultation note
database design,record date time known vaccine reaction allergic occurrence
database design,register large number patients arrive at er quickly as result disaster involving casualties eg train accident earthquake etc
database design,require justification for overriding changing canceling order prior be allowed continue
database design,require medium high severity alerts due medication counter indications be approved pharmacist
database design,require all orders be digitally signed date time stamped at completion each order
database design,reschedule suspend discontinue iv orders
database design,reverse modify resubmit prescription refill claims online
database design,review inpatient medication profile for medication reconciliation
database design,review patient problems medications medication reconciliation allergies adrs in ehr which provides ability manage each these list types
database design,review edit information about proposed set single multidisciplinary care plan options based upon expected outcomes
database design,route reports designated supervisors medical records
database design,select diagnosis medications procedures from predefined lists
database design,separate active from inactive problems
database design,support acuity levels such as resuscitation emergent urgent less urgent nonurgent
database design,support all aspects preoperative care integrated with electronic patient chart
database design,support all refills be processed at central location
database design,support case logging including
database design,support computer assisted coding
database design,support counter signature order written discontinued medical student unauthorized consultant for which activation held pending counter signature
database design,support decision support rules for pharmacy orders including
database design,support default schedules utilizing more than one slot type used predefine use time for resource
database design,support empi reporting for following
database design,support folder film management tracking simplify tracking films as they being checked in out radiology service
database design,support interfaces pharmacy automation through retail pharmacy solution
database design,support mammography management as integrated product option provides ability track manage mammography procedures ensure patient follow up provide statistical outcome reporting
database design,support manage work queue for routing records for review etc
database design,support predefined defaults for order details
database design,support provider checkin checkout through role assignment such as team assignment patient reassignment functionality
database design,support provider roles such as
database design,support realtime retrospective trending analysis
database design,support reports such as
database design,support resident attending signoff relationships attestation
database design,support role specific applications for radiologists other interpreting physicians access exam report other clinical information create reports using templates electronically sign reports within radiology
database design,support standard iv label standard medication label standard self med pass med label standard oral syringe label standard outpatient label
database design,support inclusion kardextype information
database design,support ivr process through retail pharmacy solution
database design,support merging unmerging identified duplicate medical records
database design,update patient problems medications medication reconciliation allergies adrs in ehr which provides ability manage each these listtypes
database design,use weightbased bsa based dose entered ad hoc subsequently be able resolve such entered doses finite doses
database design,utilize action comments booking notes scheduling comments warning overrides resource comments encounter comments person comments
database design,view assigned patients utilization trends on call schedules on dashboard
database design,view lab results during pharmacy order process flow
database design,view on demand patients current active medications
database design,view pacs images with rad report
database design,view patient charts including result flowsheets clinical notes patient information demographics problem lists pediatric growth charts visit lists
database design,view patient immunization list
database design,view prenatal record
database design,view complete final record
database design,withhold encounter from being closed without certain data fields completed
database design,has capacity enterprise clinical viewer for viewing clinical results eg pediatric growth charts visit lists others
database design,has functionality addresses task lists
database design,has functionality address shift assignment product will need include functionality automate assignment patients group care givers individual care giver
database design,has functionality facilitate need automate intake output flow sheet calculations along with fluid balance in graphic view
database design,integrates use registration conversations conversation flexing logic for radiology integration including capability schedule radiology patient appointments surgical management integration including capability assign surgical case numbers evaluate historical recent procedure durations apply preference cards scheduling process perform dynamic block scheduling
database design,allow authorized users update directory
database design,associate store link key identifier information eg system id medical record number with each patient record
database design,be capable recording comments patient patients representative regarding accuracy veracity information in patient record henceforth patient annotations
database design,create single patient record for each patient
database design,provide view active orders for individual patient
database design,provide view orders like comparable type eg all radiology all lab orders
database design,provide access patient specific test procedure instructions be modified physician health organization these instructions be given patient
database design,provide access patient specific test procedure instructions be modified physician health organization these instructions be given filler order
database design,provide access standard care plan protocol guideline documents requested at time clinical encounter
database design,provide electronic communication between prescribers pharmacies other intended recipients medication order
database design,provide filtered displays encounters based on encounter characteristics including date service encounter provider associated diagnosis
database design,provide field which will identify patients as being exempt from reporting functions
database design,provide means document patients dispute with information currently in their chart
database design,provide ability create maintain report distribution mechanism with predefined reports eg monthly reports specific role organization location via portal web
database design,provide access clinical images
database design,provide capability schedule reports run automatically
database design,provide drugdiagnosis interaction alerts at time medication prescribing ordering
database design,provide endusers ability search for medications generic brand name
database design,for clinical other authorized view full content finalized note
database design,for attach free text comment result be seen another might subsequently view result
database design,for explicitly capture maintain as discrete data allergy list was reviewed
database design,accept updates drug interaction databases
database design,accept store in patients record display clinical results received through interface with external source
database design,access review medication information such as patient education material drug monograph
database design,access demographic information such as name date birth gender needed for patient care functions
database design,access reference information for prescribing ordering
database design,add reminders for necessary follow up tests based on medication prescribed
database design,addend possibly correct notes have been finalized
database design,alert at time new medication prescribed ordered drug interaction allergy formulary checking will be performed against uncoded medication free text medication
database design,alert drug interaction information outdated
database design,allow configure prescriptions incorporate fixed text according users specifications
database design,associate individual encounters with diagnoses
database design,associate one more images with non numerical result
database design,associate orders medications with one more codified problems diagnoses
database design,associate orders medications notes with one more problems diagnoses
database design,automatically generate reminder letters for patients due overdue for disease management preventive wellness services
database design,capture display formulary information from pharmacy pbm pharmacy benefits managerby applying eligibility response
database design,capture display temperature weight height in both metric english units be capable indicating vital sign measurement falls outside preset normal range as set authorized users
database design,capture maintain at least one reason for overriding any drug drug drug allergy intolerance interaction warning triggered at time medication prescribing ordering
database design,capture maintain as discrete data elements all current medications including overthecounter complementary medications such as vitamins herbs supplements
database design,capture maintain as discrete data elements identity all providers associated with specific patient encounter
database design,capture maintain as discrete data elements principal provider responsible for care individual patient
database design,capture maintain as discrete data diagnosis problem code description associated with order any type including prescriptions medications ordered for administration
database design,capture maintain as discrete data identity added modified inactivated removed items from allergy adverse reaction list including attributes changed items
database design,capture maintain as discrete data reason for variation from rule based clinical messages for example alerts reminders
database design,capture store external documents
database design,capture appropriate order entry detail including associated diagnosis
database design,capture common content for prescription details including strength sign quantity refills be selected ordering clinician
database design,capture history collected from outside sources
database design,capture immunization administration details as discrete data including immunization type dose date time administration route site lot number expiration date manufacturer id
database design,capture medication administration details as discrete data including medication name dose date time administration route site lot number expiration date manufacturer id
database design,capture medications entered authorized users other than prescriber
database design,capture other clinical data elements as discrete data
database design,capture patient history as both presence absence conditions ie specification absence personal family history specific diagnosis procedure health risk behavior
database design,capture patient vital signs including blood pressure heart rate respiratory rate height weight as discrete data
database design,capture scanned paper consent documents covered in dc
database design,capture identity ordering provider for all test orders
